Word	Lemma	Part of Speech	Gloss
smǣtes	smǣte	adj.gen.n.sg	pure, refined
sōhte	sēcan	v.pret.1sg	sought
sōhte	sēcan	v.pret.1sg	sought
sōhte	sēcan	v.pret.1sg	sought
sōhte	sēcan	v.pret.1sg	sought
sōhte	sēcan	v.pret.1sg	sought
sōhte	sēcan	v.pret.1sg	sought
sōhte	sēcan	v.pret.1sg	sought
somod	somod	adv	together
song	song	n.m.acc.sg	song
song	song	n.m.acc.sg	song
songe	song	n.m.dat.sg	song
songes	song	n.m.gen.sg	of song
spell	spell	n.n.acc.sg	story, tale
sprecan	sprecan	v.inf	to speak
sprēcan	sprecan	v.pret.pl	spoke
sprecaþ	sprecan	v.pres.pl	speak
sūð	sūð	adv	south
suhtorfædran	suhtorfædera	n.m.nom.pl	nephew and uncle
sumne	sum	adj.acc.m.sg	some
Suþ-denum	Sūþ-Dene	n.m.dat.pl	the South-Danes
Swa	swā	adv	so, thus
swā	swā	adv	as, so
Swā	swā	adv	so, thus
Swā	swā	adv	so, thus
Swæfe	Swæfas	n.m.nom.pl	the Swabians
Swæfum	Swæfas	n.m.dat.pl	the Swabians
Swæfum	Swæfas	n.m.dat.pl	the Swabians
swegle	swegle	n.n.dat.sg	sky, heaven
Sweom	Swēon	n.m.dat.pl	the Swedes
Sweom	Swēon	n.m.dat.pl	the Swedes
sweorde	sweord	n.n.instr.sg	sword
sweordum	sweord	n.n.dat.pl	swords
Sweordwerum	Sweordweras	n.m.dat.pl	the Sword-men
swinsade	swinsian	v.pret.3sg	sounded, made melody
Swylce	swilce	adv	likewise, also
Sycgum	Sycgas	n.m.dat.pl	the Secgans
Sycgum	Sycgas	n.m.dat.pl	the Secgans
syleð	sellan	v.pres.3sg	gives
symle	symle	adv	always
to	tō	prep	to, for
to	tō	prep	to, for
to	tō	prep	to
to	tō	prep	to, for
to	tō	prep	to
uncrum	uncer	poss.pron.dual.dat.m.sg	our (dual)
under	under	prep	under
under	under	prep	under
unhnēaweste	unhnēaw	adj.superl.acc.f.sg	most generous
unhnēawne	unhnēaw	adj.acc.m.sg	unsparing, generous
Unwenes	Unwen	n.m.gen.sg	of Unwen
Wada	Wada	n.m.nom.sg	Wada (name)
wæran	wesan	v.pret.pl	were
wærlogan	wǣrloga	n.m.gen.sg	oath-breaker, traitor
Wærnum	Wærnas	n.m.dat.pl	the Werns
wæs	wesan	v.pret.3sg	was
wæs	wesan	v.pret.3sg	was
wæs	wesan	v.pret.3sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.1sg	was
wæs	wesan	v.pret.3sg	was
wæs	wesan	v.pret.3sg	was
Wala	Wealas	n.m.gen.pl	of the Welsh, of the Romans
Wald	Wald	n.m.nom.sg	Wald (name)
wealdan	wealdan	v.inf	rule, control
wēl	wēl	adv	well
Wenlum	Wenlas	n.m.dat.pl	the Wends
weold	wealdan	v.pret.3sg	ruled
weold	wealdan	v.pret.3sg	ruled
weold	wealdan	v.pret.3sg	ruled
weold	wealdan	v.pret.3sg	ruled
weold	wealdan	v.pret.3sg	ruled
weold	wealdan	v.pret.3sg	ruled
weold	wealdan	v.pret.3sg	ruled
weoldan	wealdan	v.pret.pl	ruled, controlled
wergan	werian	v.inf	defend
Wernum	Wernas	n.m.dat.pl	the Werns
werum	wer	n.m.dat.pl	men
wicinga	wicing	n.m.gen.pl	of vikings
Wicingum	Wicingas	n.m.dat.pl	the Vikings
wið	wið	prep	against
wide	wīde	adv	widely, far and wide
Widsið	Widsið	n.m.	"Widsith (name, literally ""far-traveler"")"
wīfum	wīf	n.n.dat.pl	women
wig	wīg	n.n.nom.sg	war, battle
wile	willan	v.pres.3sg	wishes, wants
wile	willan	v.pres.3sg	wishes, wants
wilna	will	n.m.gen.pl	of desires
wīnburga	wīnburg	n.f.gen.pl	of wine-cities
Winedum	Winedas	n.m.dat.pl	the Wends
wiolena	wiolen	n.n.gen.pl	of wealth
wisse	witan	v.pret.1sg	knew
Wistlawudu	Wistlawudu	n.m.acc.sg	Vistula wood
wit	wit	pers.pron.nom.dual	we two
Witta	Witta	n.m.nom.sg	Witta (name)
Wiþergield	Wiþergield	n.m.acc.sg	Withergield (name)
Wiþmyrginga	Wiþmyrgingas	n.m.gen.pl	of the With-Myrgings
wloncan	wlanc	adj.acc.f.sg	proud
wlonce	wlanc	adj.nom.pl	proud
Wod	Wod	n.m.nom.sg	Wod (name)
Woingum	Woingas	n.m.dat.pl	the Woings
wordhord	wordhord	n.n	word-hoard, store of words
wordum	word	n.n.instr.pl	with words
worn	worn	n.m.acc.sg	multitude, great number
wræccan	wræcca	n.m.nom.pl	exiles
wraþes	wrāð	adj.gen.m.sg	angry, cruel
Wrosnum	Wrosnas	n.m.dat.pl	the Wrosns
Wudga	Wudga	n.m.nom.sg	Wudga (name)
Wudgan	Wudga	n.m.acc.sg	Wudga (name)
Wulfhere	Wulfhere	n.m.acc.sg	Wulfhere (name)
Wulfingum	Wulfingas	n.m.dat.pl	the Wulfings
wundnan	wunden	adj.dat.n.sg	wound, twisted
wyrcenne	wyrcan	v.inf	work, make
Wyrmhere	Wyrmhere	n.m.acc.sg	Wyrmhere (name)
yfles	yfel	adj.gen.n.sg	evil
ymb	ymb	prep	around
Ymbrum	Ymbre	n.m.dat.pl	the Ymbrians
Ytum	Ytas	n.m.dat.pl	the Jutes
þa	sē	dem.pron.nom.pl	those
þā	þā	adv	then
þā	þā	adv	when
þā	þā	adv	then
þā	sē	dem.pron.acc.pl	those
þā	sē	dem.pron.acc.f.sg	the
þā	sē	dem.pron.nom.pl	those
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þære	sēo	dem.pron.dat.f.sg	that
þæs	þæs	dem.pron.gen.n.sg	of that
þæt	þæt	conj	that
þæt	þæt	dem.pron.nom.n.sg	that
þæt	þæt	dem.pron.nom.n.sg	that
þæt	þæt	dem.pron.acc.n.sg	that
þæt	þæt	conj	that
þǣt	þæt	dem.pron.nom.n.sg	that
þām	sē	dem.pron.dat.m.sg	which, that
þām	sē	dem.pron.dat.m.sg	that
þāra	sē	dem.pron.gen.pl	of those
þāra	sē	dem.pron.gen.pl	of those
Þāra	sē	dem.pron.gen.pl	of those
þe	þe	rel.part	who, that
þe	þe	rel.part	who, that
þe	þe	rel.part	which, that
þe	þe	rel.part	who, that
þe	þe	rel.part	which, that
þe	þe	rel.part	who
þe	þe	conj	that
þe	þe	rel.part	who
þe	þe	rel.part	who
þēah	þēah	conj	though
þearfe	þearf	n.f.acc.sg	need
þeawum	þēaw	n.m.dat.pl	with customs, according to customs
þenden	þenden	conj	while
þēode	þēod	n.f.acc.sg	people, nation
þeodenstol	þēodenstōl	n.m.acc.sg	throne
þeodna	þēoden	n.m.gen.pl	of lords, princes
Þeodric	Þeodric	n.m.nom.sg	Theodoric
Þeodric	Þeodric	n.m.acc.sg	Theodoric
þoncword	þoncword	n.n.acc.sg	word of thanks
þone	sē	dem.pron.acc.m.sg	which, that
þonne	þonne	conj	when
þonne	þonne	conj	when
þonne	þonne	conj	when
þrāge	þrāg	n.f.acc.sg	time, while
Þrowendum	Þrowendas	n.m.dat.pl	the Throw-people
þrym	þrymm	n.m.acc.sg	force, strength, glory
Þyle	Þyle	n.m.nom.sg	Thyle (name)
Þyringum	Þyringas	n.m.dat.pl	the Thuringians
Þyringum	Þyringas	n.m.dat.pl	the Thuringians
