Word	Lemma	Part of Speech	Gloss
sōhte	sēcan	v.pret.1sg	sought
ic	ic	pers.pron.nom.1sg	I
ond	ond	conj	and
Beadecan	Beadeca	n.m.acc.sg	Beadeca (name)
ond	ond	conj	and
Herelingas	Herelingas	n.m.acc.pl	the Herelings
Emercan	Emercan	n.m.acc.sg	Emercan (name)
sōhte	sēcan	v.pret.1sg	sought
ic	ic	pers.pron.nom.1sg	I
ond	ond	conj	and
Fridlan	Fridla	n.m.acc.sg	Fridla (name)
ond	ond	conj	and
Eastgotan	Eastgota	n.m.acc.sg	Eastgota (name)
frōdne	frōd	adj.acc.m.sg	wise, old
ond	ond	conj	and
gōdne	gōd	adj.acc.m.sg	good
fæder	fæder	n.m.acc.sg	father
Unwenes	Unwen	n.m.gen.sg	of Unwen
Seccan	Secca	n.m.acc.sg	Secca (name)
sōhte	sēcan	v.pret.1sg	sought
ic	ic	pers.pron.nom.1sg	I
ond	ond	conj	and
Beccan	Becca	n.m.acc.sg	Becca (name)
Seafolan	Seafola	n.m.acc.sg	Seafola (name)
ond	ond	conj	and
Þeodric	Þeodric	n.m.acc.sg	Theodoric
Heaþoric	Heaþoric	n.m.acc.sg	Heathoric (name)
ond	ond	conj	and
Sifecan	Sifeca	n.m.acc.sg	Sifeca (name)
Hlīþe	Hlīþe	n.m.acc.sg	Hlithe (name)
ond	ond	conj	and
Incgenþeow	Incgenþeow	n.m.acc.sg	Incgentheow (name)
Eadwine	Eadwine	n.m.acc.sg	Edwin (name)
sōhte	sēcan	v.pret.1sg	sought
ic	ic	pers.pron.nom.1sg	I
ond	ond	conj	and
Elsan	Elsa	n.m.acc.sg	Elsa (name)
Ægelmund	Ægelmund	n.m.acc.sg	Ægelmund (name)
ond	ond	conj	and
Hungar	Hungar	n.m.acc.sg	Hungar (name)
ond	ond	conj	and
þā	sē	dem.pron.acc.f.sg	the
wloncan	wlanc	adj.acc.f.sg	proud
gedryht	gedryht	n.f.acc.sg	retinue, band
Wiþmyrginga	Wiþmyrgingas	n.m.gen.pl	of the With-Myrgings
Wulfhere	Wulfhere	n.m.acc.sg	Wulfhere (name)
sōhte	sēcan	v.pret.1sg	sought
ic	ic	pers.pron.nom.1sg	I
ond	ond	conj	and
Wyrmhere	Wyrmhere	n.m.acc.sg	Wyrmhere (name)
ful	full	adv	fully, very
oft	oft	adv	often
þǣr	þǣr	adv	there
wig	wīg	n.n.nom.sg	war, battle
ne	ne	adv	not
ālæg	ālicgan	v.pret.3sg	failed, ceased
þonne	þonne	conj	when
Hræda	Hræde	n.m.gen.pl	of the Goths
here	here	n.m.nom.sg	army
heardum	heard	adj.dat.pl	hard
sweordum	sweord	n.n.dat.pl	swords
ymb	ymb	prep	around
Wistlawudu	Wistlawudu	n.m.acc.sg	Vistula wood
wergan	werian	v.inf	defend
sceoldon	sculan	v.pret.pl	should, had to
ealdne	eald	adj.acc.m.sg	old
ēþelstōl	ēþelstōl	n.m.acc.sg	native seat, homeland
Ætlan	Ætla	n.m.dat.sg	Attila
lēodum	lēod	n.m.dat.pl	to the people
Rædhere	Rædhere	n.m.acc.sg	Rædhere (name)
sōhte	sēcan	v.pret.1sg	sought
ic	ic	pers.pron.nom.1sg	I
ond	ond	conj	and
Rondhere	Rondhere	n.m.acc.sg	Rondhere (name)
Rumstan	Rumstan	n.m.acc.sg	Rumstan (name)
ond	ond	conj	and
Gislhere	Gislhere	n.m.acc.sg	Gislhere (name)
Wiþergield	Wiþergield	n.m.acc.sg	Withergield (name)
ond	ond	conj	and
Freoþeric	Freoþeric	n.m.acc.sg	Freotheric (name)
Wudgan	Wudga	n.m.acc.sg	Wudga (name)
ond	ond	conj	and
Haman	Hama	n.m.acc.sg	Hama (name)
ne	ne	adv	not
wæran	wesan	v.pret.pl	were
þæt	þæt	dem.pron.nom.n.sg	that
gesīþa	gesīþ	n.m.gen.pl	of companions
þā	sē	dem.pron.nom.pl	those
sǣmestan	sǣmest	adj.superl.nom.pl	worst
þēah	þēah	conj	though
þe	þe	conj	that
ic	ic	pers.pron.nom.1sg	I
hȳ	hīe	pers.pron.acc.pl	them
anīhst	anīehst	adv.superl	last
nemnan	nemnan	v.inf	name
sceolde	sculan	v.pret.1sg	should, had to
Ful	full	adv	fully, very
oft	oft	adv	often
of	of	prep	from
þām	sē	dem.pron.dat.m.sg	that
hēape	hēap	n.m.dat.sg	heap, troop
hwīnende	hwīnan	v.pres.p	whizzing, whistling
fleag	flēogan	v.pret.3sg	flew
giellende	giellan	v.pres.p	yelling
gar	gār	n.m.nom.sg	spear
on	on	prep	on
grome	gram	adj.acc.f.sg	hostile, angry
þēode	þēod	n.f.acc.sg	people, nation
wræccan	wræcca	n.m.nom.pl	exiles
þǣr	þǣr	adv	there
weoldan	wealdan	v.pret.pl	ruled, controlled
wundnan	wunden	adj.dat.n.sg	wound, twisted
golde	gold	n.n.dat.sg	gold
werum	wer	n.m.dat.pl	men
ond	ond	conj	and
wīfum	wīf	n.n.dat.pl	women
Wudga	Wudga	n.m.nom.sg	Wudga (name)
ond	ond	conj	and
Hama	Hama	n.m.nom.sg	Hama (name)
Swa	swā	adv	so, thus
ic	ic	pers.pron.nom.1sg	I
þæt	þæt	dem.pron.acc.n.sg	that
symle	symle	adv	always
onfond	onfindan	v.pret.1sg	found out, experienced
on	on	prep	in
þære	sēo	dem.pron.dat.f.sg	that
fēringe	fēring	n.f.dat.sg	journey
þæt	þæt	conj	that
sē	sē	dem.pron.nom.m.sg	he
biþ	bēon	v.pres.3sg	is
leofast	lēof	adj.superl.nom.m.sg	dearest
londbūendum	landbuend	n.m.dat.pl	to land-dwellers, inhabitants
sē	sē	dem.pron.nom.m.sg	he
þe	þe	rel.part	who
him	hē	pers.pron.dat.m.sg	him
God	god	n.m.nom.sg	God
syleð	sellan	v.pres.3sg	gives
gumena	guma	n.m.gen.pl	of men
rīce	rīce	n.n.acc.sg	kingdom, power
to	tō	prep	to
gehealdenne	gehealdan	v.inf	hold, maintain
þenden	þenden	conj	while
hē	hē	pers.pron.nom.m.sg	he
hēr	hēr	adv	here
leofað	libban	v.pres.3sg	lives
Swā	swā	adv	so, thus
scrīþende	scrīðan	v.pres.p	wandering, gliding
gesceapum	gesceap	n.n.dat.pl	by fates, by destiny
hweorfað	hweorfan	v.pres.pl	turn, wander
glēomen	glēoman	n.m.nom.pl	gleemen, minstrels
gumena	guma	n.m.gen.pl	of men
geond	geond	prep	throughout
grunda	grund	n.m.acc.pl	grounds, regions
fela	fela	adj.indecl	many
þearfe	þearf	n.f.acc.sg	need
secgað	secgan	v.pres.pl	say, tell
þoncword	þoncword	n.n.acc.sg	word of thanks
sprecaþ	sprecan	v.pres.pl	speak
simle	symle	adv	always
sūð	sūð	adv	south
oþþe	oþþe	conj	or
norð	norð	adv	north
sumne	sum	adj.acc.m.sg	some
gemētað	gemētan	v.pres.pl	meet
gydda	gied	n.n.gen.pl	of songs, of tales
glēawne	glēaw	adj.acc.m.sg	skilled, wise
geofum	giefu	n.f.dat.pl	with gifts
unhnēawne	unhnēaw	adj.acc.m.sg	unsparing, generous
sē	sē	dem.pron.nom.m.sg	he
þe	þe	rel.part	who
fore	fore	prep	before
duguþe	duguþ	n.f.dat.sg	nobility, warriors
wile	willan	v.pres.3sg	wishes, wants
dōm	dōm	n.m.acc.sg	glory, judgment
ārǣran	ārǣran	v.inf	raise up, establish
eorlscipe	eorlscipe	n.m.acc.sg	nobility, heroism
æfnan	æfnan	v.inf	perform, accomplish
oþþæt	oþþæt	conj	until
eal	eall	pron	all
scæceð	sceacan	v.pres.3sg	departs, passes away
lēoht	lēoht	n.n.nom.sg	light
ond	ond	conj	and
līf	līf	n.n.nom.sg	life
somod	somod	adv	together
lof	lof	n.n.acc.sg	praise
sē	sē	dem.pron.nom.m.sg	he who
gewyrceð	gewyrcan	v.pres.3sg	works, achieves
hafað	habban	v.pres.3sg	has
under	under	prep	under
heofonum	heofon	n.m.dat.pl	heavens
hēahfæstne	hēahfæst	adj.acc.m.sg	high-established, exalted
dōm	dōm	n.m.acc.sg	glory, judgment
