Lemma	Form	POS	Line	Gloss
fēringe,	fēring	dsn	131	journeying
þæt	þæt	conj	132	that
sē	sē	dem.pn	132	that
biþ	bēon	pres.v	132	be
lēofast	lēof	adv	132	dearest
londbūendum	londbūend	dpn	132	subjects
sē	sē	dem.pn	133	that
þe	þe	in	133	who
him	hē	dsn	133	him
God	God	n	133	God
syleð	syllan	pres.sv	133	give
gumena	guma	gpn	133	men's
rīce	rīce	asn	133	rule
to	to	prep	134	to
gehealdenne,	gehealdan	gerund	134	holding
þenden	þenden	conj	134	while
hē	hē	nsppn	134	he
hēr	hēr	nsn	134	here
leofað.	lifgan	psv	134	lives
Swā	swā	conj	135	as
scrīþende	scrīþan	participle	135	wandering
gesceapum	gesceap	ipn	135	fate
hweorfað	hweorfan	ppv	135	roved
glēomen	glēomonn	npm	136	glee-man, minstrel
gumena	guma	gpn	136	men
geond	geond	prep	136	throughout
grunda	grund	gpn	136	region
fela,	fela	adj	136	many
þearfe	þearf	asn	137	need
secgað,	secgan	pres.pv	137	says
þoncword	þoncword	apn	137	thank-words
sprecaþ,	sprecan	pres.pv	137	speaking
simle	simle	adv	138	always
sūð	sūð	adv	138	south
oþþe	oþþe	conj	138	or
norð	norþ	adv	138	north
sumne	sum	aspn	138	some one
gemētað	gemētan	v	138	met
gydda	gydd	gpn	139	poem
glēawne,	glēaw	adj	139	appreciative
geofum	giefu	ipn	139	gifts
unhnēawne,	unhnēaw	adj	139	generous
se	se	dem.pn	140	that
þe	þe	in	140	who
fore	fore	prep	140	before
duguþe	duguþ	dsn	140	royal military men
wile	willan	pres.sv	140	will
dōm	dōm	asn	140	reputation
ārǣran,	ārǣran	v	140	to heighten
eorlscipe	eorlscipe	nsn	141	noble behavior
æfnan,	æfnan	v	141	practice
oþþæt	oþ þæt	conj	141	until
eal	eal	adj	141	all
scæceð,	scacan	pres.sv	141	pass
lēoht	lēoht	nsn	142	light
ond	ond	conj	142	and
līf	līf	nsn	142	life
somod;	somod	adv	142	together
lof	lof	asn	142	praise
se	se	dem.pn	142	that
gewyrceð,	gewyrcan	v	142	works
hafað	habban	psv	143	has
under	under	prep	143	under
heofonum	heofon	dpn	143	the heavens
hēahfæstne	hēahfæst	adj	143	lasting
dōm.	dōm	asn	143	glory
